title,body_parts,equipment,difficulty,link,video_id
CLOSE GRIP BENCH PRESS,"Deltoids, Triceps",Bench,Beginner,https://www.nasm.org/exercise-library/close-grip-bench-press,LJeqLAmJLfs
DEAD BUG,Core,None,Beginner,https://www.nasm.org/exercise-library/dead-bug,bxn9FBrt4-A
LUNGE JUMP,"Full Body, Glutes, Thighs, Calves",None,Intermediate,https://www.nasm.org/exercise-library/lunge-jump,_5kDxC0flg0
SEATED MACHINE ROW: CLOSE GRIP,"Back, Latissimus Dorsi, Rhomboids, Traps, Shoulders, Posterior Deltoids, Arms, Biceps",Seated Cable Row Machine,Beginner,https://www.nasm.org/exercise-library/seated-machine-row-close-grip,k0cTJCfxa0Y
CHILD'S POSE,"Shoulders, Posterior Shoulder, Back, Latissimus Dorsi, Erector Spinae, Shins",None,Beginner,https://www.nasm.org/exercise-library/child's-pose,_ZX_zTOBgp8
TUCK JUMP,"Full Body, Glutes, Thighs, Calves",None,Intermediate,https://www.nasm.org/exercise-library/tuck-jump,-bnJGikRGsM
TWO-ARM STANDING CABLE FLY,"Chest, Shoulders, Anterior Deltoids",Cable Machine,Beginner,https://www.nasm.org/exercise-library/two-arm-standing-cable-fly,XNf6TBErGys
BENCH DIPS,"Triceps, Shoulders, Anterior Deltoids",Bench,Intermediate,https://www.nasm.org/exercise-library/bench-dips,WVeZDBhZwLA
CHEST PRESS MACHINE,"Chest, Shoulders, Anterior Deltoids, Triceps",Chest Press Machine,Beginner,https://www.nasm.org/exercise-library/chest-press-machine,lRo9zZ7EwpM
SINGLE-ARM DUMBBELL CHEST PRESS,"Chest, Shoulders, Anterior Deltoids","Bench, Dumbbells",Intermediate,https://www.nasm.org/exercise-library/single-arm-dumbbell-chest-press,qFTnmyC-nf4
TWO-ARM DUMBBELL CHEST PRESS WITH BAND,"Chest, Shoulders, Anterior Deltoids","Bench, Dumbbells, Band or Tube",Intermediate,https://www.nasm.org/exercise-library/two-arm-dumbbell-chest-press-with-band,_x5m-s8xTf0
SINGLE-ARM INCLINE DUMBBELL CHEST PRESS,"Chest, Shoulders, Anterior Deltoids","Bench, Dumbbells",Intermediate,https://www.nasm.org/exercise-library/single-arm-incline-dumbbell-chest-press,iJ-GwVeUuCg
TWO-ARM INCLINE DUMBBELL CHEST PRESS,"Chest, Shoulders, Anterior Deltoids","Bench, Dumbbells",Beginner,https://www.nasm.org/exercise-library/two-arm-incline-dumbbell-chest-press,JKnpHchOWPU
"LYING LEG CURL: TWO-LEG CONCENTRIC, SINGLE-LEG ECCENTRIC","Thighs, Hamstrings, Calves",Lying Leg Curl Machine,Intermediate,https://www.nasm.org/exercise-library/lying-leg-curl-two-leg-concentric-single-leg-eccentric,_7sVQlruVZc
LYING LEG CURL: SINGLE-LEG,"Thighs, Hamstrings, Calves",Lying Leg Curl Machine,Beginner,https://www.nasm.org/exercise-library/lying-leg-curl-single-leg,kGIfh3hHY0w
SEATED LEG CURL,"Hamstrings, Calves",Leg Curl Machine,Beginner,https://www.nasm.org/exercise-library/seated-leg-curl,_2Kd0d-JEUM
SINGLE-LEG SEATED LEG CURL,"Thighs, Hamstrings, Calves",Leg Curl Machine,Beginner,https://www.nasm.org/exercise-library/single-leg-seated-leg-curl,PXNJ71rksvU
SINGLE-LEG SQUAT,"Quadriceps, Groin, Glutes",None,Advanced,https://www.nasm.org/exercise-library/single-leg-squat,sSXnaFyhiZs
SINGLE-LEG SQUAT TOUCHDOWN,"Quadriceps, Glutes, Groin",None,Advanced,https://www.nasm.org/exercise-library/single-leg-squat-touchdown,h6lET2_DLA0
SINGLE-LEG SQUAT TO ROW,"Quadriceps, Groin, Glutes, Hamstrings, Biceps, Mid Back, Posterior Shoulder",Cable Machine,Advanced,https://www.nasm.org/exercise-library/single-leg-squat-to-row,LmGbrgGJS6E
BARBELL BENCH PRESS,Chest,"Bench, Barbell, Plates, Safety Collars",Beginner,https://www.nasm.org/exercise-library/barbell-bench-press,CayG6UYqL8g
BARBELL BENCH PRESS WITH BANDS,Chest,"Bench, Barbell, Plates, Safety Collars, Band or Tube",Advanced,https://www.nasm.org/exercise-library/barbell-bench-press-with-bands,N4H4o8k9WbE
BARBELL BENCH PRESS WITH CHAINS,Chest,"Bench, Barbell, Plates, Safety Collars, Chains",Advanced,https://www.nasm.org/exercise-library/barbell-bench-press-with-chains,6UKcYcDme-Y
INCLINE BARBELL BENCH PRESS,Chest,"Bench, Barbell, Plates, Safety Collars",Intermediate,https://www.nasm.org/exercise-library/incline-barbell-bench-press,BjGLs6KGWUc
FOAM ROLL: ADDUCTORS,Groin,Foam Roller,Beginner,https://www.nasm.org/exercise-library/foam-roll-adductors,Nqol0T6rKDg
FOAM ROLL: CALVES,"Groin, Calves",Foam Roller,Beginner,https://www.nasm.org/exercise-library/foam-roll-calves,6f2LO5EeB0I
FOAM ROLL: LATISSIMUS DORSI,Mid Back,Foam Roller,Beginner,https://www.nasm.org/exercise-library/foam-roll-latissimus-dorsi,5S2suclGl7o
STATIC: BUTTERFLY STRETCH,Groin,None,Beginner,https://www.nasm.org/exercise-library/static-butterfly-stretch,v4OLkxi5-Q0
STATIC: LATISSIMUS DORSI BALL STRETCH,Latissimus Dorsi,Stability Ball,Beginner,https://www.nasm.org/exercise-library/static-latissimus-dorsi-ball-stretch,kEH6jatSVSw
STATIC: SEATED CALF STRETCH,Calves,Stretch Strap,Beginner,https://www.nasm.org/exercise-library/static-seated-calf-stretch,83G00Fwlqqw
STATIC: STANDING ADDUCTOR STRETCH,Groin,None,Beginner,https://www.nasm.org/exercise-library/static-standing-adductor-stretch,IzHUoWs0maQ
SINGLE-LEG BALANCE REACH: FRONTAL PLANE,Full Body,None,Beginner,https://www.nasm.org/exercise-library/single-leg-balance-reach-frontal-plane-exercise,UrB5wA7B3hI
